latitude,longitude,depth,taxonkey,scientificname,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,basisofrecord
-78.06324,-169.99115,549.0,9551,Psolidae,1,50,222.0,1482.0,9551.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2279234,"Cucumaria de Blainville, 1830",1,50,222.0,1482.0,6184.0,2279234.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,222,Holothuroidea,1,50,222.0,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,7614040,Molpadida,1,50,222.0,7614040.0,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2274163,"Diplasterias Perrier, 1891",1,50,214.0,1462.0,6009.0,2274163.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,710,Pennatulacea,1,43,206.0,710.0,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,74,Sipuncula,1,74,,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,3588,Syllidae,1,42,256.0,1079.0,3588.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2288723,"Limatula S.V.Wood, 1839",1,52,137.0,9380407.0,3480.0,2288723.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,705,Actiniaria,1,43,206.0,705.0,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,6876,Nuculidae,1,52,137.0,8023994.0,6876.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2277059,"Ophionotus victoriae Bell, 1902",1,50,350.0,,3218.0,2277058.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2285173,"Siphonodentalium dalli (Pilsbry & Sharp, 1898)",1,52,276.0,536.0,7262.0,2285160.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,3579,Aphroditidae,1,42,256.0,1079.0,3579.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,350,Ophiuroidea,1,50,350.0,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2269834,"Cheiraster gerlachei Ludwig, 1903",1,50,214.0,808.0,9472.0,2269861.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2487,Terebellidae,1,42,256.0,,2487.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,44,Chordata,1,44,,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,256,Polychaeta,1,42,256.0,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,350,Ophiuroidea,1,50,350.0,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,6876,Nuculidae,1,52,137.0,8023994.0,6876.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,7086,Serpulidae,1,42,256.0,1080.0,7086.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,5680,Amphiuridae,1,50,350.0,9661062.0,5680.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2277067,"Ophioperla koehleri (Bell, 1908)",1,50,350.0,,9774488.0,2277066.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2316797,Nephtyidae,1,42,256.0,1079.0,2316797.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,705,Actiniaria,1,43,206.0,705.0,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,7084,Sabellidae,1,42,256.0,1080.0,7084.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,9226164,"Flabegraviera mundata (Gravier, 1906)",1,42,256.0,,7095.0,6785128.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,350,Ophiuroidea,1,50,350.0,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2261784,"Thouarella Gray, 1870",1,43,206.0,12202578.0,9238.0,2261784.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2274814,"Ophiolimna antarctica (Lyman, 1879)",1,50,350.0,9659424.0,3222.0,2274803.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,7093,Ampharetidae,1,42,256.0,,7093.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,5680,Amphiuridae,1,50,350.0,9661062.0,5680.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2330492,"Ascidia Linnaeus, 1767",1,44,356.0,9515881.0,9280.0,2330492.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,350,Ophiuroidea,1,50,350.0,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,7093,Ampharetidae,1,42,256.0,,7093.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,350,Ophiuroidea,1,50,350.0,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,74,Sipuncula,1,74,,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,4341566,"Sterechinus Koehler, 1901",1,50,221.0,5964707.0,5597.0,4341566.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,350,Ophiuroidea,1,50,350.0,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,459,Octopoda,1,52,136.0,459.0,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2302517,"Marseniopsis Bergh, 1886",1,52,225.0,7390893.0,7058.0,2302517.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,137,Bivalvia,1,52,137.0,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,44,Chordata,1,44,,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2278371,"Astrotoma Lyman, 1875",1,50,350.0,702.0,5678.0,2278371.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,350,Ophiuroidea,1,50,350.0,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,7970582,"Umbellula Gray, 1870",1,43,206.0,12202578.0,7310.0,7970582.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2051,Lumbrineridae,1,42,256.0,865.0,2051.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2270052,"Bathybiaster loripes Sladen, 1889",1,50,214.0,808.0,5538.0,2270042.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,350,Ophiuroidea,1,50,350.0,,,,PRESERVED_SPECIMEN
